"codigo","data","motorPressaoSkidA","motorPressaoSkidB","motorTransferenciaSkidA","motorTransferenciaSkidB","motorVacuo","portaUsina","status","usinada"
271,"2016-05-12 13:55:19",0,0,0,0,1,1,"vacuoInicial",
272,"2016-05-12 14:02:49",0,0,0,0,1,0,"null",
273,"2016-05-12 14:02:59",0,0,0,0,1,1,"vacuoInicial",
274,"2016-05-12 14:07:59",0,0,0,0,1,0,"null",
275,"2016-05-12 14:08:09",0,0,0,0,1,1,"vacuoInicial",
276,"2016-05-12 14:16:59",0,0,1,0,1,1,"enchimento",
277,"2016-05-12 14:17:12",0,0,1,0,0,1,"enchimento",
278,"2016-05-12 14:18:09",0,0,1,0,0,0,"enchimento",
279,"2016-05-12 14:18:29",0,0,1,0,0,1,"enchimento",
280,"2016-05-12 14:20:29",0,0,1,0,0,0,"enchimento",
281,"2016-05-12 14:20:39",0,0,1,0,0,1,"enchimento",
282,"2016-05-12 14:20:49",0,0,1,0,0,0,"enchimento",
283,"2016-05-12 14:20:59",0,0,1,0,0,1,"enchimento",
284,"2016-05-12 14:21:49",0,0,0,0,0,1,"FechamentoDeporta",
285,"2016-05-12 14:21:59",1,0,0,0,0,1,"pressao",
286,"2016-05-12 14:22:19",1,0,0,0,0,0,"pressao",
287,"2016-05-12 14:22:29",1,0,0,0,0,1,"pressao",
288,"2016-05-12 14:23:29",1,0,0,0,0,0,"pressao",
289,"2016-05-12 14:24:19",1,0,0,0,0,1,"pressao",
290,"2016-05-12 14:25:29",1,0,0,0,0,0,"pressao",
291,"2016-05-12 14:25:39",1,0,0,0,0,1,"pressao",
292,"2016-05-12 14:26:19",1,0,0,0,0,0,"pressao",
293,"2016-05-12 14:26:39",1,0,0,0,0,1,"pressao",
294,"2016-05-12 14:28:19",1,0,0,0,0,0,"pressao",
295,"2016-05-12 14:28:29",1,0,0,0,0,1,"pressao",
296,"2016-05-12 14:29:19",1,0,0,0,0,0,"pressao",
297,"2016-05-12 14:29:29",1,0,0,0,0,1,"pressao",
298,"2016-05-12 14:29:49",1,0,0,0,0,0,"pressao",
299,"2016-05-12 14:29:59",1,0,0,0,0,1,"pressao",
300,"2016-05-12 14:31:59",1,0,0,0,0,0,"pressao",
